<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;D;20220103;000000;353.7300000
GAZP;D;20220104;000000;352.5500000
GAZP;D;20220105;000000;335.0000000
GAZP;D;20220106;000000;346.1300000
GAZP;D;20220110;000000;344.0000000
GAZP;D;20220111;000000;343.7400000
GAZP;D;20220112;000000;347.4300000
GAZP;D;20220113;000000;337.6000000
GAZP;D;20220114;000000;335.7600000
GAZP;D;20220117;000000;327.8100000
GAZP;D;20220118;000000;301.1100000
GAZP;D;20220119;000000;318.3600000
GAZP;D;20220120;000000;310.4200000
GAZP;D;20220121;000000;311.6000000
GAZP;D;20220124;000000;294.5900000
GAZP;D;20220125;000000;302.9600000
GAZP;D;20220126;000000;299.6000000
GAZP;D;20220127;000000;325.2500000
GAZP;D;20220128;000000;329.5800000
GAZP;D;20220131;000000;334.8000000
GAZP;D;20220201;000000;330.9500000
GAZP;D;20220202;000000;331.7000000
GAZP;D;20220203;000000;323.7500000
GAZP;D;20220204;000000;324.6000000
GAZP;D;20220207;000000;321.2500000
GAZP;D;20220208;000000;331.7000000
GAZP;D;20220209;000000;335.0800000
GAZP;D;20220210;000000;328.9300000
GAZP;D;20220211;000000;318.1000000
GAZP;D;20220214;000000;321.8500000
GAZP;D;20220215;000000;333.6000000
GAZP;D;20220216;000000;336.5000000
GAZP;D;20220217;000000;323.5100000
GAZP;D;20220218;000000;309.4800000
GAZP;D;20220221;000000;257.3000000
GAZP;D;20220222;000000;283.5100000
GAZP;D;20220224;000000;210.0000000
GAZP;D;20220225;000000;228.0000000
GAZP;D;20220324;000000;258.5100000
GAZP;D;20220325;000000;227.0000000
GAZP;D;20220328;000000;218.6000000
GAZP;D;20220329;000000;208.0000000
GAZP;D;20220330;000000;216.0000000
GAZP;D;20220331;000000;242.4800000
GAZP;D;20220401;000000;251.4000000
GAZP;D;20220404;000000;252.9000000
GAZP;D;20220405;000000;243.5000000
GAZP;D;20220406;000000;239.7000000
GAZP;D;20220407;000000;245.0000000
GAZP;D;20220408;000000;241.0700000
GAZP;D;20220411;000000;234.5500000
GAZP;D;20220412;000000;236.3000000
GAZP;D;20220413;000000;234.8700000
GAZP;D;20220414;000000;222.1100000
GAZP;D;20220415;000000;224.0000000
GAZP;D;20220418;000000;216.9900000
GAZP;D;20220419;000000;220.7200000
GAZP;D;20220420;000000;218.9200000
GAZP;D;20220421;000000;210.2900000
GAZP;D;20220422;000000;208.0000000
GAZP;D;20220425;000000;206.3500000
GAZP;D;20220426;000000;225.8500000
GAZP;D;20220427;000000;237.1500000
GAZP;D;20220428;000000;237.5300000
GAZP;D;20220429;000000;240.4000000
GAZP;D;20220504;000000;234.1600000
GAZP;D;20220505;000000;238.6000000
GAZP;D;20220506;000000;240.1000000
GAZP;D;20220511;000000;241.9900000
GAZP;D;20220512;000000;230.5600000
GAZP;D;20220513;000000;235.5200000
GAZP;D;20220516;000000;244.2000000
GAZP;D;20220517;000000;258.8000000
GAZP;D;20220518;000000;264.8400000
GAZP;D;20220519;000000;266.6800000
GAZP;D;20220520;000000;263.0000000
GAZP;D;20220523;000000;263.0000000
GAZP;D;20220524;000000;265.8000000
GAZP;D;20220525;000000;271.4000000
GAZP;D;20220526;000000;295.8900000
GAZP;D;20220527;000000;294.5000000
GAZP;D;20220530;000000;300.8000000
GAZP;D;20220531;000000;293.7500000
GAZP;D;20220601;000000;297.6900000
GAZP;D;20220602;000000;296.0000000
GAZP;D;20220603;000000;297.0000000
GAZP;D;20220606;000000;296.5000000
GAZP;D;20220607;000000;297.9900000
GAZP;D;20220608;000000;308.0000000
GAZP;D;20220609;000000;306.5000000
GAZP;D;20220610;000000;309.2000000
GAZP;D;20220614;000000;317.6900000
GAZP;D;20220615;000000;316.2000000
GAZP;D;20220616;000000;316.9900000
GAZP;D;20220617;000000;315.5000000
GAZP;D;20220620;000000;311.9800000
GAZP;D;20220621;000000;301.5800000
GAZP;D;20220622;000000;295.8000000
GAZP;D;20220623;000000;303.5000000
GAZP;D;20220624;000000;296.0000000
GAZP;D;20220627;000000;296.2000000
GAZP;D;20220628;000000;297.2000000
GAZP;D;20220629;000000;297.6500000
GAZP;D;20220630;000000;207.0000000
GAZP;D;20220701;000000;192.5000000
GAZP;D;20220704;000000;186.2500000
GAZP;D;20220705;000000;197.3000000
GAZP;D;20220706;000000;195.4200000
GAZP;D;20220707;000000;197.9200000
GAZP;D;20220708;000000;198.0000000
GAZP;D;20220711;000000;188.9000000
GAZP;D;20220712;000000;191.4000000
GAZP;D;20220713;000000;186.0000000
GAZP;D;20220714;000000;184.5500000
GAZP;D;20220715;000000;187.6100000
GAZP;D;20220718;000000;186.7000000
GAZP;D;20220719;000000;189.5100000
GAZP;D;20220720;000000;193.3000000
GAZP;D;20220721;000000;189.5900000
GAZP;D;20220722;000000;192.2500000
GAZP;D;20220725;000000;192.0000000
GAZP;D;20220726;000000;193.9500000
GAZP;D;20220727;000000;196.4900000
GAZP;D;20220728;000000;196.2500000
GAZP;D;20220729;000000;195.2600000
GAZP;D;20220801;000000;192.0000000
GAZP;D;20220802;000000;187.1600000
GAZP;D;20220803;000000;187.0400000
GAZP;D;20220804;000000;184.9000000
GAZP;D;20220805;000000;176.5800000
GAZP;D;20220808;000000;177.8600000
GAZP;D;20220809;000000;181.0400000
GAZP;D;20220810;000000;178.8100000
GAZP;D;20220811;000000;174.1000000
GAZP;D;20220812;000000;174.3600000
GAZP;D;20220815;000000;174.8000000
GAZP;D;20220816;000000;181.3000000
GAZP;D;20220817;000000;176.5000000
GAZP;D;20220818;000000;178.8700000
GAZP;D;20220819;000000;177.6000000
GAZP;D;20220822;000000;181.7000000
GAZP;D;20220823;000000;184.3000000
GAZP;D;20220824;000000;182.8300000
GAZP;D;20220825;000000;181.9000000
GAZP;D;20220826;000000;183.6200000
GAZP;D;20220829;000000;190.0000000
GAZP;D;20220830;000000;204.0000000
GAZP;D;20220831;000000;254.9000000
GAZP;D;20220901;000000;249.1100000
GAZP;D;20220902;000000;252.8000000
GAZP;D;20220905;000000;250.0000000
GAZP;D;20220906;000000;246.0000000
GAZP;D;20220907;000000;241.5500000
GAZP;D;20220908;000000;243.9500000
GAZP;D;20220909;000000;245.3400000
GAZP;D;20220912;000000;243.3000000
GAZP;D;20220913;000000;242.6400000
GAZP;D;20220914;000000;243.3200000
GAZP;D;20220915;000000;243.6800000
GAZP;D;20220916;000000;243.8000000
GAZP;D;20220919;000000;244.2100000
GAZP;D;20220920;000000;221.1500000
GAZP;D;20220921;000000;214.0700000
GAZP;D;20220922;000000;231.4500000
GAZP;D;20220923;000000;224.8400000
GAZP;D;20220926;000000;206.0000000
GAZP;D;20220927;000000;217.3000000
GAZP;D;20220928;000000;217.3800000
GAZP;D;20220929;000000;226.4600000
GAZP;D;20220930;000000;217.7000000
GAZP;D;20221003;000000;215.8300000
GAZP;D;20221004;000000;210.7200000
GAZP;D;20221005;000000;209.0500000
GAZP;D;20221006;000000;212.8600000
GAZP;D;20221007;000000;195.1500000
GAZP;D;20221010;000000;163.8900000
GAZP;D;20221011;000000;162.8900000
GAZP;D;20221012;000000;161.8000000
GAZP;D;20221013;000000;160.8400000
GAZP;D;20221014;000000;159.6000000
GAZP;D;20221017;000000;163.2400000
GAZP;D;20221018;000000;160.2000000
GAZP;D;20221019;000000;161.2900000
GAZP;D;20221020;000000;160.7500000
GAZP;D;20221021;000000;166.9900000
GAZP;D;20221024;000000;165.4700000
GAZP;D;20221025;000000;172.3800000
GAZP;D;20221026;000000;171.9800000
GAZP;D;20221027;000000;172.4700000
GAZP;D;20221028;000000;170.7300000
GAZP;D;20221031;000000;170.2700000
GAZP;D;20221101;000000;169.9200000
GAZP;D;20221102;000000;167.7200000
GAZP;D;20221103;000000;169.1400000
GAZP;D;20221107;000000;169.8500000
GAZP;D;20221108;000000;169.9700000
GAZP;D;20221109;000000;167.1000000
GAZP;D;20221110;000000;168.9000000
GAZP;D;20221111;000000;169.8600000
GAZP;D;20221114;000000;169.6000000
GAZP;D;20221115;000000;166.2500000
GAZP;D;20221116;000000;168.7600000
GAZP;D;20221117;000000;168.9900000
GAZP;D;20221118;000000;168.7900000
GAZP;D;20221121;000000;168.1300000
GAZP;D;20221122;000000;168.0800000
GAZP;D;20221123;000000;169.1500000
GAZP;D;20221124;000000;168.9600000
GAZP;D;20221125;000000;169.0300000
GAZP;D;20221128;000000;168.1000000
GAZP;D;20221129;000000;168.1000000
GAZP;D;20221130;000000;167.7000000
GAZP;D;20221201;000000;166.9800000
GAZP;D;20221202;000000;165.8600000
GAZP;D;20221205;000000;165.0300000
GAZP;D;20221206;000000;164.3000000
GAZP;D;20221207;000000;163.7000000
GAZP;D;20221208;000000;163.0000000
GAZP;D;20221209;000000;162.7500000
GAZP;D;20221212;000000;162.8900000
GAZP;D;20221213;000000;162.4000000
GAZP;D;20221214;000000;160.7400000
GAZP;D;20221215;000000;160.3100000
GAZP;D;20221216;000000;160.2400000
GAZP;D;20221219;000000;157.6100000
GAZP;D;20221220;000000;158.9400000
GAZP;D;20221221;000000;157.5900000
GAZP;D;20221222;000000;157.9500000
GAZP;D;20221223;000000;160.8900000
GAZP;D;20221226;000000;162.1200000
GAZP;D;20221227;000000;164.0700000
GAZP;D;20221228;000000;161.8200000
GAZP;D;20221229;000000;162.9100000
GAZP;D;20221230;000000;162.5600000
